,user_id,combined_features
3159,146967,146967 286 paid_ins_organicebbonus5 app_android Android App04.0
3166,51096,51096 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
3188,86805,86805 323 paid_ins_organicebbonus5 app_ios iOS App04.0
3204,155251,155251 318 paid_ins_organicebbonus5 app_ios iOS App04.0
3287,55874,55874 196 paid_ins_organicsign up app_android Android App04.0
3310,210108,210108 0 paid_ins_organicfriend app_android Android App14.0
3349,211198,211198 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
3385,186140,186140 0 paid_ins_organicpartnership app_android Android App14.0
3387,30360,30360 13 paid_ins_organicsign up app_android Android App04.0
3416,83636,83636 91 Directpartnership app_android Android App04.0
3429,89836,89836 303 paid_ins_organicsign up app_ios iOS App04.0
3434,157580,157580 104 paid_ins_organicsign up app_android Android App04.0
3444,141664,141664 307 paid_ins_organicvipbonus app_android Android App04.0
3462,24106,24106 53 paid_ins_organicfriend app_android Android App04.0
3475,36610,36610 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
3491,116857,116857 85 paid_ins_organicfriend app_ios iOS App04.0
3537,224479,224479 290 paid_ins_organicebbonus5 app_android Android App04.0
3543,77398,77398 150 paid_ins_organicsign up app_android Android App04.0
3544,50590,50590 315 paid_ins_Apple Search Adsebbonus5 app_ios iOS App04.0
3550,216082,216082 218 Directsign up app_android Android App04.0
3554,237086,237086 191 paid_ins_naverpartnership app_ios iOS App04.0
3559,138187,138187 0 paid_ins_organicfriend app_android Android App14.0
3581,77437,77437 0 paid_ins_organicfriend app_ios iOS App14.0
3607,222556,222556 255 paid_ins_organicebbonus5 app_ios iOS App04.0
3633,48238,48238 4 Directsign up app_ios iOS App04.0
3709,207690,207690 102 paid_ins_Facebook Adssign up app_android Android App04.0
3771,202443,202443 1 paid_ins_organicsign up app_ios iOS App04.0
3775,64665,64665 123 paid_ins_organicsign up app_android Android App04.0
3794,74122,74122 1 paid_ins_organicfriend app_ios iOS App04.0
3810,242381,242381 118 Directsign up app_android Android App04.0
3811,34165,34165 55 paid_ins_organicsign up app_ios iOS App04.0
3835,92207,92207 297 Directebbonus5 app_ios iOS App04.0
3844,19701,19701 261 paid_ins_organicebbonus5 app_ios iOS App04.0
3847,107643,107643 293 paid_ins_organicebbonus5 app_ios iOS App04.0
3860,183383,183383 9 paid_ins_organicsign up app_android Android App04.0
3861,9493,9493 0 paid_ins_organicpartnership app_ios iOS App14.0
3915,142090,142090 12 paid_ins_organicfriend app_android Android App04.0
3921,209777,209777 109 paid_ins_organicfriend app_android Android App04.0
3944,123518,123518 0 paid_ins_organicfriend app_ios iOS App14.0
3954,196369,196369 328 paid_ins_organicebbonus5 app_android Android App04.0
